name,price,link
Alnatura Bio Marzipan Riegel Zartbitter 40G ,"1,29€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Alnatura-Bio-Marzipan-Riegel-Zartbitter-40G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Balisto Korn 8ST 148G ,"2,69€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Balisto-Korn-8ST-148G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Balisto Müsli 8ST 148G ,"2,69€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Balisto-Muesli-8ST-148G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Balisto Yoberry 8ST 148G ,"2,69€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Balisto-Yoberry-8ST-148G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Celebrations 186G ,"4,19€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Celebrations-186G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Duplo Original 10ST 182G ,"2,99€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Duplo-Original-10ST-182G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Duplo White 10ST 182G ,"2,99€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Duplo-White-10ST-182G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
"Ferrero Duplo 18ST 327,6G ","3,99€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Ferrero-Duplo-18ST-327-6G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
"Ferrero Hanuta Riegel Milch & Nuss 5ST 172,5G ","2,79€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Ferrero-Hanuta-Riegel-Milch-Nuss-5ST-172-5G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Ferrero Kinder Bueno 10ST 215G ,"3,99€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Ferrero-Kinder-Bueno-10ST-215G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Ferrero Yogurette Erdbeere 8ST 100G ,"1,39€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Ferrero-Yogurette-Erdbeere-8ST-100G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Gut & Günstig Schokoriegel Peanut Power 6ST 300G ,"1,89€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Gut-Guenstig-Schokoriegel-Peanut-Power-6ST-300G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
"Kinder Country 9ST 211,5G ","2,99€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Kinder-Country-9ST-211-5G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Kinder Riegel 10ST 210G ,"2,99€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Kinder-Riegel-10ST-210G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Kinder Riegel Big Pack 18ST 378G ,"3,99€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Kinder-Riegel-Big-Pack-18ST-378G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Kinder Schokolade 8ST 100G ,"1,39€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Kinder-Schokolade-8ST-100G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
KitKat 4ST 166G ,"2,25€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/KitKat-4ST-166G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
KitKat Chunky 4ST 160G ,"2,49€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/KitKat-Chunky-4ST-160G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Knoppers Erdnuss Riegel 5ST 200G ,"2,29€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Knoppers-Erdnuss-Riegel-5ST-200G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Knoppers Kokos Riegel 5ST 200G ,"2,29€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Knoppers-Kokos-Riegel-5ST-200G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Knoppers Milch-Haselnuss-Schnitte 8ST 200G ,"2,29€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Knoppers-Milch-Haselnuss-Schnitte-8ST-200G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Knoppers Nuss Riegel 5ST 200G ,"2,29€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Knoppers-Nuss-Riegel-5ST-200G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Knoppers Nussriegel Dark 5ST 200G ,"2,29€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Knoppers-Nussriegel-Dark-5ST-200G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
"Milka Nussini 5ST 157,5G ","2,49€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Milka-Nussini-5ST-157-5G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
Nestle Lion Choco Snack Size 5ST 150G ,"2,49€",https://www.edeka24.de/Lebensmittel/Suess-Salzig/Schokoriegel/Nestle-Lion-Choco-Snack-Size-5ST-150G.html?force_sid=9altrfmqk5cmi31b7frr5gmddn
